Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
Gîte de la Courbe;Gîte d'étapes;;;;N°1 La Courbe;72300;SOUVIGNE-SUR-SARTHE;;72343;47.8262349;-0.3829742;Gare SNCF||||6;06 07 37 23 28;02 43 95 17 05;;;http://www.gite-de-la-courbe.com/;;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;Gîtes de France;3 épis;;Français;Fourniture de draps (gratuit),Option nettoyage / ménage;;4;8;3;25;26;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 07 37 23 28||;;;Forfait location privative de l'hébergement||1150,00||1550,00||Mini : 14 couchages - salle de réception - cuisine,Maxi : 25 couchages - salle de réception - cuisine - préau - pigeonnier - salle du four;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V504MS1;47.8262349, -0.3829742;Sarthe
Gîte Tristan;Gîte d'étapes;La Cassine;;;;72140;ROUESSE-VASSE;;72255;48.16022;-0.198862;Gare SNCF||||6;;02 43 25 20 87;;;;Facebook||https://www.facebook.com/pages/G%C3%AEte-La-Cassine/147098162156088?ref=stream;;;;Non classé;WiFi;non;;Déficience auditive,Déficience mentale,Déficience visuelle;oui;Parking;Famille Plus,Gîtes de France;3 épis;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;8;4;;;19;;oui;||||toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Monsieur Verrier||06 52 30 21 23||gitelacassine72@yahoo.fr;;;Nuitée / hébergement||||||Basse saison,Forfait location privative de l'hébergement||||||Forfait week-end (2 nuits),Forfait location privative de l'hébergement||||||Forfait pour la semaine,Nuitée / hébergement||||||Haute saison;Chèques Vacances;;;;;;;;;;;HCOLLPDL072V50028I;48.16022, -0.198862;Sarthe
Maison Familiale d'Accueil et d'Hébergement;Maison familiale;;;;10, avenue du 8 mai 1945;49290;CHALONNES-SUR-LOIRE;;49063;47.3498746;-0.7690346;Route (nationale/départ.)||D961||0,5,Autoroute||A11, sortie n°19||12,Aéroport/aérodrome||Angers Marcé||50,Gare SNCF||||2,Gare routière||||0,5,Gare routière||||;;02 41 78 51 48;02 41 74 91 74;;;;;;;Non classé;;non;;;non;Parking,Salle de réception;;;;Français;Location de draps;oui;4;22;30;87;87;non;non;;;;;Forfait semaine / pers||||||pour 2 personnes,Nuitée / pers||||||pour 2 personnes;Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLL812120032;47.3498746, -0.7690346;Maine-et-Loire
Le parc de la Sardière;Centre d'accueil et/ou de vacances,Gîte de groupe;4, LA SARDIERE;;;;44540;LE PIN;;44124;47.5917126;-1.160165;Route (nationale/départ.)||Départementale 32||0;06 22 51 92 15;;;;http://www.le-parc-de-la-sardiere.com;;file:///C:/Users/Utilisateur/Desktop/LE%20PARC%20DE%20LA%20SARDIERE/PHOTO/PHOTO%20A%20ENVOYER/SALLE.mp4,file:///C:/Users/Utilisateur/Desktop/LE%20PARC%20DE%20LA%20SARDIERE/PHOTO/PHOTO%20A%20ENVOYER/CUISINE.mp4;;;Non classé;Piscine,Piscine couverte,WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;;;;Anglais,Espagnol,Français;Option nettoyage / ménage;oui;6;8;8;34;47;oui;;;LABBE YOANN||06 22 51 92 15||pentecouteau542@laposte.net;;;;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL044V5009LB;47.5917126, -1.160165;Loire-Atlantique
Gîtes de la Janais - ensemble 4 gîtes;Gîte de groupe;;;;;44540;LE PIN;;44124;47.58981;-1.15486;Route (nationale/départ.)||RD164||0,9;07 83 63 55 78;;;;https://www.giteslajanais.fr/nos-gites/;;;;;;WiFi;;;;non;Parking;;;;;Fourniture de draps (gratuit),Location de linge,Option nettoyage / ménage;;;7;4;24;28;;;;;oui;||https://www.giteslajanais.fr/nos-gites/||||||;;;;;;;;;;;;;HCOLLPDL044V51FCEM;47.58981, -1.15486;Loire-Atlantique
GITE DOMAINE DE DANSÉ;Gîte de groupe;;;;Lieu-dit Dansé;53270;THORIGNE-EN-CHARNIE;;53264;47.991685;-0.393558;Route (nationale/départ.)||Saulges||1,Gare SNCF||Evron||21,3,Gare SNCF||Sablé-sur-Sarthe||21,Autoroute||Péage de Vaiges/Évron - A81 - Sortie N°2||12,4;06 63 40 55 54;;;;https://domainededanse.com;Facebook||https://www.facebook.com/domainededanse/,Instagram||https://www.instagram.com/domainededanse/,||https://www.linkedin.com/company/domainededanse/;;;;3 étoiles;WiFi;non;Sont acceptés les chiens guide d'aveugle et les chevaux dans le cadre d'une halte équestre.;;non;Parking;Gîtes de France;3 épis;;Anglais,Français;Location de draps,Location/prêt de vélo,Option nettoyage / ménage;oui;5;3;1;14;15;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Stéphanie Rondeau||06 63 40 55 54||domainededanse@gmail.com;oui;||https://www.domainededanse.com/reservation||||||;Nuitée / hébergement||225,00||725,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V507FVW;47.991685, -0.393558;Mayenne
CENTRE D'HEBERGEMENT MUNICIPAL LES BIZEULS;Gîte de groupe;;;;;53500;ERNEE;;53096;48.3087301;-0.9302835;Route (nationale/départ.)||||2,Autoroute||||20,Gare SNCF||Laval||30,Gare routière||||2;;02.43.08.71.10;;;http://www.ville-ernee.fr;;;;;Non classé;;non;;;;Parking,Salle de réception;;;;;Option nettoyage / ménage;oui;;4;;29;29;;non;;;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLL873180332;48.3087301, -0.9302835;Mayenne
Gîte Le Fleuret;Gîte de groupe;Le Fleuret;1994 rue des mimosas;;;72160;LA CHAPELLE-SAINT-REMY;;72067;48.0935103;0.47248942;Route (nationale/départ.)||||4,Autoroute||||25,Gare SNCF||||4;06 80 72 46 51;;;;;;;;;Non classé;;non;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;;oui;;;;40;150;;oui;;Mme Caignard||06 80 72 46 51||;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50J0U2;48.0935103, 0.47248942;Sarthe
Gîte de groupe La Tuffière;Gîte de groupe;;;;La Tuffière;72430;ASNIERES-SUR-VEGRE;;72010;47.9005489;-0.2292536;;06 67 05 37 21;;;;http://www.latuffiere.fr/;Instagram||https://www.instagram.com/gite_la_tuffiere/;;;;Non classé;;;;;non;Cuisine professionnelle;;;;;Location de linge;;2;2;;;28;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / hébergement||800,00||||Tarif Week-end;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50P947;47.9005489, -0.2292536;Sarthe
GITE LE GRENIER;Gîte de groupe;;;1 Javardan;;44660;FERCE;;44058;47.8034081;-1.3924578;;06 52 67 04 52;;;;https://domainedejavardan.fr/;;;;;;WiFi;oui;;;non;Parking,Salle de réception;;;;;Fourniture de linge (gratuit),Location de draps,Location/prêt de vélo,Option nettoyage / ménage;;;4;0;11;15;;;;;;;||800,00||1000,00||Forfait 2 nuits;Chèques Vacances;;;;;;;;;;;HCOLLPDL044V51DF8P;47.8034081, -1.3924578;Loire-Atlantique
Gîte d'étape du Loup jusqu'à 15 pers.;Gîte d'étapes;;;11 rue de Normandie;;53700;LOUPFOUGERES;;53139;48.3386555;-0.3480244;;;02 43 03 26 31;;;;;;;;Non classé;;non;;;non;Parking;;;;;;;;4;1;14;15;;oui;||||||||10:30||12:30||14:00||17:00||||||||||09:30||12:30||14:00||18:00||||||||||09:30||12:30||14:00||17:00||||||||||||||||;Mairie de Loupfougères||02 43 03 26 31||mairiedeloupfougeres@wanadoo.fr;;;;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL053V503GFK;48.3386555, -0.3480244;Mayenne
Appartements hôteliers,  Les Terrasses de Saumur;;;;2 rue des Lilas;Saint-Hilaire-Saint-Florent;49400;SAUMUR;;49328;47.262132;-0.111809;;;02 41 67 28 48;;;https://www.lesterrassesdesaumur.fr;;;;;;WiFi;oui;Tenus en laisse sur tout le site;;;Parking;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Prestation de restauration;;15;;;;15;;;01/01/2025||12/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||http://www.lesterrassesdesaumur.fr||||||;;Cartes bancaires,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLPDL049V50FLDI;47.262132, -0.111809;Maine-et-Loire
LA BELLE IMPASSE;Gîte de groupe,Maison familiale;;;22 Place de l'Église;;44750;CAMPBON;;44025;47.41287;-1.96955;;06 60 72 04 68;;;;;;;;;;WiFi;;;;non;;;;;;Fourniture de draps (gratuit);;;4;;7;15;;;;;oui;||https://www.airbnb.fr/rooms/639774057558049631?guests=1&adults=1&s=67&unique_share_id=b3b1abef-fde3-4cfc-943b-519bd61e57c6||||||,||https://www.gites.fr/gites_campbon_18207.html||||||;;;;;;;;;;;;;HCOLLPDL044V51DSLC;47.41287, -1.96955;Loire-Atlantique
Résidence Habitat Jeunes -  Les Pâquerettes;Gîte de groupe;;;5 rue de la Casse;;49300;CHOLET;;49099;47.06143;-0.87062;;;02 41 71 36 36;;;http://www.habitatjeunes-choletais.fr;;;;;;WiFi;;;;non;Parking;;;;Anglais,Français;Location/prêt de vélo,Prestation de restauration;;;104;;104;104;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLQHCPAQUERETTES;47.06143, -0.87062;Maine-et-Loire
MAISON DE VILLE NOZAY RIEFFEL;;;;8 bis Rue Jules Rieffel;;44170;NOZAY;;44113;47.56651;-1.62589;;06 58 40 16 92;;;;;;;;;;WiFi;;;;non;Parking;;;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage;;;2;1;3;6;;oui;;;oui;||https://www.lespierresbleues-bnb.com/reservations/||||06 58 40 16 92||contact@lespierresbleues-bnb.com;;;;;;;;;;;;;HCOLLPDL044V51F5GW;47.56651, -1.62589;Loire-Atlantique
Les PEP PARIS - Centre permanent Mon Abri;Centre d'accueil et/ou de vacances;;;9 rue André Antoine;;44510;LE POULIGUEN;;44135;47.2683;-2.42753;;;02 40 62 31 35;02 40 62 31 53;;http://pouliguen.pep75.org;;;;;;Espace bien-être,Piscine couverte,WiFi;non;;Déficience auditive,Déficience mentale,Déficience moteur,Déficience visuelle;oui;Parking,Salle de réception;UNAT;;;;Fourniture de draps (gratuit),Location/prêt de vélo;;;;;153;153;;;;;;;;;;;;;;;;;;;HCOLLRPEP75MONABRI;47.2683, -2.42753;Loire-Atlantique
GITE LA PETITE NOERIE;Gîte de groupe,Maison familiale;;;900 chemin des Noeries;La Petite Noerie;53480;SAINT-GEORGES-LE-FLECHARD;;53220;48.0364069;-0.5269285;;06 81 89 16 37;;;;https://gitesdelapetitenoerie.fr/;;;;;3 étoiles;Espace bien-être,WiFi;oui;sous conditions;;non;Terrain clos;Gîtes de France;;;Français;Fourniture de draps (gratuit),Location de linge,Option nettoyage / ménage;;;4;1;8;11;;oui;;;oui;Gîtes de France||https://www.gites-de-france-mayenne.com/fr/location/locations-gites-saint-georges-le-flechard-la-petite-noerie-h53g022638||||||;Forfait location privative de l'hébergement||790,00||||Location à la semaine,Nuitée / hébergement||559,00||||;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL053V5099CR;48.0364069, -0.5269285;Mayenne
GUERMITON;Gîte de groupe;;;Guermiton;;44320;FROSSAY;;44061;47.24156;-1.88687;;06 62 58 94 85;02 40 39 06 11;;;http://www.gites-guermiton.fr;;;;;;;non;;;non;Cuisine professionnelle,Parking;;;;;;;;;;35;35;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLRHCOLLPDL044V50056P;47.24156, -1.88687;Loire-Atlantique
La Baronnerie;Centre d'accueil et/ou de vacances,Gîte de groupe;;;La Baronnerie;Chéméré;44680;CHAUMES-EN-RETZ;;44005;47.13229;-1.84348;;;02 40 02 77 57;;;http://www.labaronnerie.fr;;;;;;WiFi;oui;;;non;Cuisine professionnelle,Parking;;;;;;;;12;;44;48;;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Taxe de séjour / nuit / pers||0,88||0,88||;Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLJCHERBARONNERIE;47.13229, -1.84348;Loire-Atlantique
Château de Montbraye;;;;Route de Brette;;72250;PARIGNE-L'EVEQUE;;72231;47.9332;0.3605;;06 89 50 64 02;;;;https://www.montbraye.fr/;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50Y8U7;47.9332, 0.3605;Sarthe
Gîte La Chauguinière;Gîte de groupe;La Chauguinière;;;;;LA CHAPELLE-SAINT-REMY;;72067;48.11554;0.46824;;;06 86 86 81 53;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50S3RO;48.11554, 0.46824;Sarthe
Gîte de groupe - La Gavellerie;Gîte de groupe;;;;LA GAVELLERIE;72370;LE BREIL-SUR-MERIZE;;72046;47.993754;0.50978499;;;02.43.93.28.03;;;http://www.gite-gavellerie-sarthe.fr/;;;;;;;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;;oui;;;;45;150;;oui;;M. ET MME GUILLEMIN||02 43 93 28 03||;;;;;;;;;;;;;;;HCOLLPDL072V501QCG;47.993754, 0.50978499;Sarthe
Gîte de groupe Le Mallet-Guemancais;Gîte de groupe;;;;Le Mallet;72110;ROUPERROUX-LE-COQUET;;72259;48.2481144;0.44516474;;06 07 47 57 87;02 43 29 79 74;;;http://gitedumallet.e-monsite.com/;;;;;;WiFi;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Nettoyage / ménage (gratuit),Prestation de restauration;oui;18;3;;40;85;;oui;;M. Damenet||02 43 29 79 74||jdse.damenet@wanadoo.fr;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL072V501QEF;48.2481144, 0.44516474;Sarthe
Gîte des Charbonnières du domaine des Mésangères;Gîte de groupe;;;;Les Mésangères;72270;MEZERAY;;72195;47.840116;-0.0137881;;;02 43 96 50 53;;;http://www.lesmesangeres.com/;Facebook||https://www.facebook.com/domainedesmesangeres,Instagram||https://www.instagram.com/domaine_des_mesangeres/;;;;Non classé;WiFi;oui;;;non;Parking,Plain pied,Salle de réception,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Nettoyage / ménage (gratuit);oui;5;8;1;32;32;oui;oui;01/01/2024||30/04/2028||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||;Valérie DEMEULEMEESTER||06 75 27 52 88||contact@lesmesangeres.com;;;;Cartes bancaires,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V507IJ2;47.840116, -0.0137881;Sarthe
CENTRE NOTRE-DAME DE PERSEIGNE;Centre d'accueil et/ou de vacances;;;;Lieu-dit Perseigne;72600;NEUFCHATEL-EN-SAOSNOIS;;72215;47.9841498;0.2029155;;06 75 01 87 37;;;;http://perseigne.fr/groupes/internet/index.php;Facebook||https://www.facebook.com/profile.php?id=100007621875621,Instagram||https://www.instagram.com/colonie_de_perseigne/?hl=fr;https://www.youtube.com/watch?v=t5ooVFwCdx8,https://www.youtube.com/watch?v=C84smCh6FkY,https://www.youtube.com/watch?v=dKYlQVdvCFo;"https://www.youtube.com/watch?v=t5ooVFwCdx8,,(Présentation location du lieu) <span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>,https://www.youtube.com/watch?v=C84smCh6FkY,,(Présentation séjour d'été à Perseigne)<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>,https://www.youtube.com/watch?v=dKYlQVdvCFo,,(Présentation Formations BAFA)<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;Non classé;WiFi;;;;non;Cuisine professionnelle,Terrain clos;;;;Français;Location de draps,Option nettoyage / ménage;oui;25;14;;100;;;oui;;||06 75 01 87 37||;;;Forfait location privative de l'hébergement||||||Forfait week-end : 5 formules,55 couchages	: 850€,83 couchages	: 1300€,109 couchages	: 1600€,121 couchages	: 1860€,147 couchages      : 2200€,,La location comprend : Salle d'activité + cuisine + réfectoire,,Groupe scolaire et cultuel voir sur le site;;;;;;;;;;;;HCOLLPDL072V501RRX;47.9841498, 0.2029155;Sarthe
Gîte de Groupe Village de l'héritage;Gîte de groupe;;;1575 Route de Malvoisine;Malvoisine;72540;CRANNES-EN-CHAMPAGNE;;72107;47.9719376;-0.030337;;;02 43 88 01 77;;;;Instagram||https://www.instagram.com/villagedelheritage/;;;;Non classé;Espace bien-être,Garage,Local vélo,Piscine,WiFi;non;;;non;Cuisine professionnelle,Garage,Parking,Plain pied,Salle de réception,Terrain clos;;;;Anglais,Chinois,Espagnol,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit),Prestation de restauration;oui;1;36;;;85;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||15,00||65,00||Gîte : 25€/pers,Hôtel : 50 €/chambre double,,Forfait location privative de l'hébergement||||||Location du domaine pour vos évènements sur mesure et sur devis.,Petit-déjeuner / pers||13,00||13,00||,Taxe de séjour / nuit / pers||0,40||0,40||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V502AJV;47.9719376, -0.030337;Sarthe
Gîte de la Gare : Gîte de groupe;Gîte de groupe;;;20 Route de la Planche;;44140;REMOUILLE;;44142;47.052596;-1.380589;;;06 61 63 57 42;;;https://www.facebook.com/lagareremouille/;;;;;3 étoiles;Espace bien-être,WiFi;oui;Les animaux sont acceptés : un règlement leur est dédié.;;non;Parking,Plain pied,Terrain clos;;;;Anglais,Espagnol,Français,Langue des signes;Fourniture de draps (gratuit),Location de linge,Option nettoyage / ménage;oui;4;5;1;12;14;oui;oui;;;non;Airbnb||||||06 61 63 57 42||legitelagare@gmail.com,Booking||||||06 61 63 57 42||legitelagare@gmail.com;Forfait week-end / pers||64,00||64,00||,Forfait mid-week / pers||84,00||84,00||,Forfait semaine / pers||163,00||163,00||,Forfait location privative de l'hébergement||20,00||20,00||,Taxe de séjour / nuit / pers||1,10||1,10||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V50QMTC;47.052596, -1.380589;Loire-Atlantique
Maison Familiale Rurale La Riffaudière;Gîte de groupe;;;22 rue Jean Mermoz;Doué-la-Fontaine;49700;DOUE-EN-ANJOU;;49125;47.198661;-0.283899;;;02 41 59 12 77;;;http://www.mfrdoue.com;Facebook||https://www.facebook.com/mfr.lariffaudiere,Google+||https://maps.google.com/?cid=6506785192090918100;;;;;Défibrillateur,WiFi;non;;;non;Cuisine professionnelle,Parking,Terrain clos;;;;Anglais,Français;Prestation de restauration;oui;80;30;;80;80;;oui;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Taxe de séjour / nuit / pers||0,80||0,80||par nuit et par personne à partir de 18 ans;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLQZSHCRIFFAUDIERE;47.198661, -0.283899;Maine-et-Loire
Gîte étape et séjour - L'Orière;Gîte de groupe,Gîte d'étapes;;;L'Orière;;53800;SAINT-MARTIN-DU-LIMET;;53240;47.830818;-1.023338;;06 33 48 07 63;02 43 06 04 47;;;;Facebook||https://www.facebook.com/Ferme-de-lOri%C3%A8re-101665408487915;;;;Non classé;WiFi;oui;;;non;Parking,Salle de réception;;;;Français;Location de draps,Option nettoyage / ménage;oui;6;4;14;13;14;;oui;;MONSIEUR ET MADAME LAURENT||02 43 06 04 47||isa.charly.laurent@orange.fr;;;Nuitée / hébergement||420,00||505,00||,Taxe de séjour / nuit / pers||1,50||2,00||;Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLL873180401;47.830818, -1.023338;Mayenne
Domaine de la Brissais;Gîte d'étapes;;;La Brissais;;44530;SAINT-GILDAS-DES-BOIS;;44161;47.49392;-2.04651;;06 82 79 15 19;02 40 01 75 48;;;http://www.gite-la-brissais.fr;;;;;Non classé;;non;;;non;Parking;;;;;Fourniture de draps (gratuit);oui;;4;;;29;;;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLRGITEDELABRISSAIS;47.49392, -2.04651;Loire-Atlantique
LE DOMAINE D'ELAURA;Gîte de groupe;;;La Vionnière Taceau;;53100;CONTEST;;53074;48.270258;-0.710912;;06 70 71 23 97;;;;;;;;;;Espace bien-être,WiFi;oui;;;non;Parking,Terrain clos;;;;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);oui;;5;1;;12;;;;;oui;||https://www.gites.fr/gites_le-domaine-d-elaura-12-personnes-au-calme-tout-confort_contest_101648.htm||||||;Forfait location privative de l'hébergement||935,00||||nuit supplémentaire,Nuitée / hébergement||90,00||||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V50AN6J;48.270258, -0.710912;Mayenne
Centre La Rose des Vents - Association Séjours Plein-Air (A.S.P.A);Centre d'accueil et/ou de vacances;;;Route de Port Kennet;;44420;PIRIAC-SUR-MER;;44125;47.37939;-2.52668;;06 59 96 97 02;02 40 91 78 70;;;http://www.sejours-plein-air.com/;;;;;;Espace bien-être,Piscine couverte,WiFi;non;;;non;Parking,Salle de réception;Accueil Vélo,Group'A Vélo,UNAT;;V45-Vélocéan Nord Loire;;Location/prêt de vélo;oui;;41;;;120;;;;;;;;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLLRCENTREDEMERLAROSEDESVENTS;47.37939, -2.52668;Loire-Atlantique
Le Domaine de la Massonnière;Maison familiale;;;rue M. Weinberg;Lieu dit La Massonnière;72540;SAINT-CHRISTOPHE-EN-CHAMPAGNE;;72274;47.96748;-0.1393278;;06 86 20 94 42;;;;https://lemanoirdelamassonniere.fr/;Facebook||https://www.instagram.com/gitesetjardinslamassonniere/,Instagram||https://www.instagram.com/domainemassonniere/,||https://www.linkedin.com/gitesetjardinslamassonniere/,Tiktok||https://www.tiktok.com/@lamassonniere,Google+||https://www.google.com/search?q=google+my+business+la+massonniere+sarthe&client=safari&sca_esv=04491e030e2b56fd&rls=en&ei=M5ogZ9mGLd-okdUP7-fv0AY&ved=0ahUKEwiZ7L_Hk7OJAxVfVKQEHe_zG2oQ4dUDCA8&uact=5&oq=google+my+business+la+massonniere+sarthe&gs_lp=Egxnd3Mtd2l6LXNlcnAiKGdvb2dsZSBteSBidXNpbmVzcyBsYSBt;https://www.youtube.com/watch?time_continue=2&v=nwDUPh9cwhE&embeds_referring_euri=https%3A%2F%2Flemanoirdelamassonniere.fr%2F&embeds_referring_origin=https%3A%2F%2Flemanoirdelamassonniere.fr&source_ve;;;5 étoiles;Espace bien-être,Piscine,WiFi;oui;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;5 épis;;Anglais,Espagnol,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit),Prestation de restauration;oui;;7;2;12;21;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||||||sur devis;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50Y9L2;47.96748, -0.1393278;Sarthe
